#
# k, p, z, km_sponge_factor, kmvis_ref/rho_ref, kmcnd_ref/(cp*rho_ref)
#
1 0.5960E-3  0.1384E6 0.1000E3 0.2008E7 0.3154E7
2 0.9827E-3  0.1312E6 0.1000E3 0.1218E7 0.1913E7
3 0.1620E-2  0.1248E6 0.1000E3 0.7388E6 0.1160E7
4 0.2671E-2  0.1182E6 0.1000E3 0.4481E6 0.7037E6
5 0.4404E-2  0.1137E6 0.1000E3 0.2718E6 0.4268E6
6 0.7261E-2  0.1098E6 0.1000E3 0.1648E6 0.2589E6
7 0.1197E-1  0.1064E6 0.1000E3 0.9998E5 0.1570E6
8 0.1974E-1  0.1031E6 0.1000E3 0.6064E5 0.9524E5
9 0.3254E-1  0.9990E5 0.1000E3 0.3678E5 0.5777E5
10 0.5365E-1 0.9687E5 0.1000E3 0.2231E5 0.3504E5
11 0.8846E-1 0.9395E5 0.1000E3 0.1353E5 0.2125E5
12 0.1458E0 0.9115E5 0.1000E3 0.8207E4 0.1289E5
13 0.2405E0 0.8836E5 0.1000E3 0.4978E4 0.7818E4
14 0.3978E0 0.8458E5 0.1000E3 0.3009E4 0.4725E4
15 0.6557E0 0.8177E5 0.1000E3 0.1826E4 0.2867E4
16 0.1081E1 0.7888E5 0.1000E3 0.1107E4 0.1738E4

